test,tipo,error_n1_rel,error_ninf_rel,error_n1_abs,error_ninf_abs,min_aval,max_aval
85,S,3.35361073742213e-05,3.8581276271543175e-06,1.5144360077101737e-07,3.5390257835388184e-08,1701.1383051088123,23611274.40780936
86,D,0.0,0.0,0.0,0.0,-962.0,989.0
86,H,2.0712209725104458e-11,7.877032359715486e-12,2.1103119252074976e-12,4.547473508864641e-13,-943.9999999999995,979.0000000000003
86,S,0.003419540603508575,0.000467943955086092,1.4642888146454425e-07,2.9802322387695312e-08,19.731009301846008,24963514.795070503
87,D,0.0,0.0,0.0,0.0,-986.0,643.0
87,H,4.512434870207471e-10,1.8800405676699938e-10,1.8189894035458565e-12,4.547473508864641e-13,-999.9999999999999,985.0000000000001
87,S,3.7550581879486344e-05,4.075583007079331e-06,1.3183398550609127e-07,3.725290298461914e-08,4270.123942854105,23023846.228505895
88,D,0.0,0.0,0.0,0.0,-908.0,977.0
88,H,3.6775471556893535e-11,1.8549606295437115e-11,2.2453150450019166e-12,3.410605131648481e-13,-972.0000000000001,837.0000000000001
88,S,0.00015361576020378465,2.0426159707653824e-05,1.7290238929490442e-07,3.3527612686157227e-08,252.61363085500477,23005714.594220042
89,D,0.0,0.0,0.0,0.0,-960.0,813.0
89,H,1.1552054868246842e-09,3.690739380779462e-10,1.8616219676914625e-12,2.2737367544323206e-13,-971.9999999999999,928.9999999999998
89,S,3.8659004147234555e-05,5.876664260995312e-06,1.1895622265001293e-07,4.0978193283081055e-08,1289.8035542701375,20075472.59898542
90,D,0.0,0.0,0.0,0.0,-934.0,847.0
90,H,6.610267888618182e-12,5.256906021600116e-12,2.9096725029376103e-12,4.547473508864641e-13,-580.0000000000001,892.9999999999999
90,S,0.0003904586006369115,4.5801714605886445e-05,1.6266812963294797e-07,4.0978193283081055e-08,262.23368622475346,23110738.0152744
91,D,0.0,0.0,0.0,0.0,-816.0,727.0
91,H,5.808686864838819e-12,5.171529871006442e-12,2.106759211528697e-12,3.410605131648481e-13,-950.0,867.0000000000001
91,S,5.113997046990448e-05,6.888286478101691e-06,1.7558522813487798e-07,5.960464477539063e-08,1089.811362085241,23439082.137748484
92,D,0.0,0.0,0.0,0.0,-994.0,949.0
92,H,1.7060769463839165e-11,1.102606894676228e-11,1.3962164757685969e-12,2.2737367544323206e-13,-863.9999999999999,931.0000000000001
92,S,0.00016451134912220944,1.7672890862741042e-05,1.4445862461798242e-07,2.2351741790771484e-08,477.98812846381094,22506628.315077998
93,D,0.0,0.0,0.0,0.0,-860.0,803.0
93,H,3.990585639712663e-12,3.849809360190193e-12,1.5205614545266144e-12,2.2737367544323206e-13,-599.9999999999999,851.0000000000001
93,S,8.620294951811047e-05,1.0897269021370448e-05,1.7042520994436927e-07,5.21540641784668e-08,1038.4415974083163,20729868.183634702
94,D,0.0,0.0,0.0,0.0,-920.0,931.0
94,H,7.672196211672144e-12,6.0276228452949e-12,2.1671553440683056e-12,6.821210263296962e-13,-976.0,806.9999999999993
94,S,0.01590419974615352,0.0017944018650652982,1.6071876629553117e-07,8.940696716308594e-08,5.195592188811254,24849923.801513378
95,D,0.0,0.0,0.0,0.0,-936.0,953.0
95,H,5.4905769784896474e-08,1.7769024859143334e-08,2.1458390619955026e-12,3.410605131648481e-13,-866.0000000000003,871.0000000000001
95,S,0.00013205080840350547,1.6544607980506498e-05,1.221890215674648e-07,3.166496753692627e-08,435.93782850983814,24887179.183130536
96,D,0.0,0.0,0.0,0.0,-754.0,991.0
96,H,8.887113267519453e-12,7.156497616733759e-12,2.2595258997171186e-12,3.410605131648481e-13,-957.9999999999999,993.0
96,S,4.073939010140748e-06,8.168492513505043e-07,1.4870238373987377e-07,7.82310962677002e-08,12093.157495131418,19609578.014347706
97,D,0.0,0.0,0.0,0.0,-948.0,987.0
97,H,2.0048229742997137e-10,6.48135156655627e-11,2.2595258997171186e-12,4.547473508864641e-13,-930.0000000000001,867.0000000000002
97,S,1.6205356700993434e-06,4.898574843537062e-07,1.593143679201603e-07,5.960464477539063e-08,65803.51708798282,26852741.83948794
98,D,0.0,0.0,0.0,0.0,-972.0,831.0
98,H,1.0296260545550329e-10,2.185801539766885e-11,2.658762099372325e-12,5.684341886080801e-13,-972.0000000000006,993.0000000000002
98,S,6.1837761080596465e-06,8.462042870860387e-07,1.3909084373153746e-07,2.9802322387695312e-08,11719.684994720568,18878770.80252646
99,D,0.0,0.0,0.0,0.0,-948.0,989.0
99,H,8.061107337198337e-12,5.541456182811544e-12,1.9326762412674725e-12,4.547473508864641e-13,-971.9999999999999,859.0
99,S,3.7715583438568956e-05,4.380686675631296e-06,2.0298239178373478e-07,4.0978193283081055e-08,2429.5293431526134,21646882.020560246
